text,start,duration,line_no,midpoint,sentiment-vader,sentiment-textblob,sentiment-vader_norm,sentiment-textblob_norm
that where are you going,255.68,3.92,74,257.64,0.0,0.0,0.1342770860875836,0.1247305271770376
fishing this time of night you're um how,257.28,3.359,75,258.9595,0.0,0.0,0.10398120935725547,0.11213384708774166
about you still watching,259.6,2.879,76,261.03950000000003,0.0,0.0,-0.01511862001189844,0.09988707120385291
us there's no fish day or night you know,260.639,3.681,77,262.47950000000003,-0.296,0.0,-0.09632390836856003,0.06996056128861218
something i like you,262.479,3.601,78,264.2795,0.3612,0.0,-0.0016235651161219324,0.010006640356194314
well i'll see you on board a little nine,264.32,4.319,79,266.4795,0.2732,-0.1875,0.04875779617588344,-0.07408649282599805
o'clock oh i i have to think that over,266.08,4.0,80,268.08,0.0,0.0,0.07087843594526515,-0.1262286348974137
well you don't have to back we'll pick,268.639,3.441,81,270.3595,0.2732,0.0,0.09888490450163098,-0.1612891497908656
up some things in havana i think i'll,270.08,3.52,82,271.84,0.0,0.0,0.09206600987853283,-0.14492288445277463
have to leave him here to dry out all,272.08,3.679,83,273.91949999999997,-0.0516,-0.06666666666666665,0.02329370351214974,-0.23232547443047716
this i'm very sorry you all have to go,273.6,3.36,84,275.28000000000003,-0.1513,-0.65,-0.06080619121416647,-0.5966809395006163
it has been a perfectly,275.759,8.081,85,279.7995,0.6369,1.0,0.16016986446870507,-0.07394018795080515
hideous party good night,276.96,6.88,86,280.4,0.6808,0.7,0.37345680431113354,0.27742177520153755
[Music],284.61,10.269,87,289.7445,0.0,0.0,0.3452208358643225,0.25278954242486285
there's one more drink left to peace,296.4,4.239,88,298.5195,0.5423,0.25,0.5163782533039719,0.3549025539796028
shame about the ice,298.72,5.039,89,301.2395,-0.4767,0.0,0.29396814089452944,0.34027242001779806
what is gone who's gone,300.639,11.201,90,306.2395,0.0,0.0,0.2854713106822623,0.2965411666862384
the ice why do you like that song,303.759,8.081,91,307.7995,0.3612,0.0,0.35050764327192874,0.28618425144838633
because it's a lot of,314.08,3.28,92,315.71999999999997,0.0,0.0,0.33402392287984456,0.2650681254912073
it's nothing like a love song give you a,319.039,4.481,93,321.2795,-0.6681,0.5,0.06268826831366439,0.48880728992429745
good laugh,322.16,4.0,94,324.16,0.7579,0.5,0.28995058923615624,0.7136706179217789
that's right,323.52,2.64,95,324.84,0.0,0.2857142857142857,0.27810308862030125,0.7575508078353396
it's stuffy in here might be,328.4,6.96,96,331.88,0.0,0.0,0.22573374132534446,0.8156470977536526
what about,332.8,2.56,97,334.08,0.0,0.0,0.21841065815285532,0.78371666446778
we have a picnic,337.52,5.6,98,340.32,0.0,0.0,0.16726031022958993,0.7112005249882715
outside,340.56,2.56,99,341.84,0.0,0.0,0.15376073829572862,0.6973089513856204
it gets too stuffy in here for a picnic,346.72,6.56,100,350.0,0.0,0.0,0.11954585764358908,0.6451073453170176
want to finish that,351.919,4.241,101,354.0395,0.0772,0.0,0.04914151392657674,0.631670842007912
shame to leave it,353.28,2.88,102,354.71999999999997,-0.5106,0.0,0.00416150406103672,0.6301207841057009
you're quite a boy,359.6,8.24,103,363.72,0.0,0.0,-0.13130399477345248,0.626226423867221
my car is outside naturally,374.0,4.479,104,376.2395,0.0,0.05,-0.10570568639552372,0.6350869971350032
i want to go for a ride very much,378.639,4.241,105,380.7595,0.0772,0.26,-0.12270906703878524,0.6173631251955415
what about your guests they'll crawl out,384.639,6.801,106,388.03950000000003,0.0,0.0,-0.1641816361091451,0.706859351367003
under their own steam i i'm going to,388.08,5.44,107,390.8,0.0,0.6,-0.1815189491086589,0.8668002278289992
drive,391.44,5.28,108,394.08,0.0,0.0,-0.20135233366324154,0.8777600981784797
that that's understood,393.52,3.2,109,395.12,0.0,0.0,-0.2072358760273401,0.8372412500095315
don't you need a coat you'll do,400.56,9.28,110,405.2,0.0,0.0,-0.2507712807330272,0.8168608408929595
wait a minute let me put this on you,417.12,6.72,111,420.48,0.0,0.0,-0.278862483096982,0.7886764780282878
might catch cold,419.28,4.56,112,421.55999999999995,0.0,-0.6,-0.2795325113757292,0.5252446999217364
[Music],436.61,13.95,113,443.58500000000004,0.0,0.0,-0.2725687169551678,0.4927696924385105
oh you're not scared of anything not too,447.84,5.04,114,450.35999999999996,0.3412,0.0,-0.26859513479555164,0.5203045428359521
much,450.56,2.32,115,451.72,0.0,0.2,-0.2684273297677011,0.5066370563295344
this fog gets me get your hair in your,455.84,5.28,116,458.47999999999996,0.0,0.0,-0.27387609922182776,0.5014806348581063
eyes,462.84,7.56,117,466.61999999999995,0.0,0.0,-0.2934218798762631,0.49496477321775784
what does the speedometer say,465.759,7.601,118,469.5595,0.0,0.0,-0.29861553026242293,0.4831084723959366
65.,470.4,2.96,119,471.88,0.0,0.0,-0.3000662701447216,0.4706303869323122
i want to make it 80 and wipe that grin,477.28,4.72,120,479.64,0.5267,0.0,-0.2757941266823504,0.41167607060795874
off your face,479.84,14.0,121,486.84,0.0,0.0,-0.20144503298646246,0.39949608993384217
i don't like gentlemen who grin at me,482.0,11.84,122,487.92,0.2477,0.0,-0.1872929194257364,0.4192034675774697
a cop what a policeman is chasing us,497.52,10.32,123,502.68,0.0,0.0,-0.2276717404609369,0.37072874522836585
look they make me sick,502.319,5.521,124,505.0795,-0.5106,-0.7142857142857143,-0.32308261011084544,0.09770362607849906
he wants to talk to you,510.24,3.2,125,511.84000000000003,0.0,0.2,-0.43280948636932276,0.1476430821964568
drunk and driving my second offense now,514.719,5.601,126,517.5195000000001,-0.5267,-0.25,-0.4901275336651336,0.04873152785376968
i go to jail oh,518.24,16.4,127,526.44,0.0,-0.1,-0.5310675625154111,-0.0384097628808517
family jail who cares,520.32,17.84,128,529.24,0.4588,-0.1,-0.508892605644351,-0.0261023795987058
having a time for yourself aren't you,534.64,3.52,129,536.4,0.0,0.0,-0.4426335356548954,-0.08875471876057073
people like you are being bet drunk huh,538.88,5.04,130,541.4,0.0258,-0.5,-0.4506518863901948,-0.2594558639438617
just a minute officer no arguments,542.32,2.079,131,543.3595,0.3089,0.0,-0.45365559192675103,-0.278358742060137
mister,543.92,5.919,132,546.8795,0.0,0.0,-0.45343773717451785,-0.29564310857453713
you ain't got a leg to stand on,544.399,5.44,133,547.119,0.0,0.0,-0.45334002749397156,-0.2999687874169368
sorry but you didn't speak up that's all,554.88,3.36,134,556.56,-0.0387,-0.5,-0.45256867826636055,-0.49149675601428156
right,557.279,3.441,135,558.9995,0.0,0.2857142857142857,-0.45284968048249447,-0.370798678789644
sure you can handle it no trouble well,558.24,5.599,136,561.0395,0.4106,0.3,-0.45305404876590505,-0.3362673115237539
you ought to know,560.72,3.119,137,562.2795,0.0,0.0,-0.4531352235359329,-0.3293132476803391
where's the ticket he didn't give me a,569.519,5.921,138,572.4795,0.0,0.0,-0.4532091938200216,-0.32829060371669655
ticket,573.2,5.52,139,575.96,0.0,0.0,-0.4534175501769782,-0.342516102433994
but what's your name,575.44,6.079,140,578.4795,0.0,0.0,-0.4537731535268035,-0.35456260865556366
devlin well you showed that cup,578.72,4.16,141,580.8000000000001,0.2732,0.0,-0.45430876516530794,-0.3658585689830993
something,581.519,5.841,142,584.4395,0.0,0.0,-0.4556608657535208,-0.38180153481188106
he saluted you did he i saw him,582.88,7.2,143,586.48,0.0,0.0,-0.45674804019823245,-0.38870243321952924
why are you double crossing buzzard,587.36,4.56,144,589.64,0.0,0.0,-0.45896701961043235,-0.3954838252362834
you're a cop,590.08,4.08,145,592.12,0.0,0.0,-0.4611726533250338,-0.3983261968326336
all right we like you later get away,591.92,3.039,146,593.4395,0.3612,0.14285714285714285,-0.46251319758272424,-0.39930359755531974
from my car,594.16,2.0,147,595.16,0.0,0.0,-0.46443592706101594,-0.4003128436740865
get out of my car i'm gonna take you,594.959,4.401,148,597.1595,0.0,0.0,-0.46691972600673426,-0.4014888373097064
home you're not gonna take me home at,596.16,3.2,149,597.76,0.0,0.0,-0.4677181238081212,-0.4019110881928086
all,602.839,3.881,150,604.7795000000001,0.0,0.0,-0.47885750046501707,-0.4144323224157436
oh,604.48,2.24,151,605.6,0.0,0.0,-0.4802814184363055,-0.41734578572479686
[Applause],608.7,3.62,152,610.51,0.4215,0.0,-0.45758541130332936,-0.4404456074163442
get out of my car a federal cop crashing,609.839,4.0,153,611.839,0.0,0.0,-0.43202525396867725,-0.44757268101317466
my party,612.32,3.519,154,614.0795,0.4019,0.0,-0.358368957684562,-0.4595105543484713
just like that buzzer with the glasses,613.839,3.361,155,615.5195000000001,0.3612,0.0,-0.30865754529647316,-0.4667714004550773
leave me alone,615.839,5.921,156,618.7995000000001,-0.296,0.0,-0.4037897834597424,-0.48064377539126085
to trailing me to get something on me oh,617.2,8.72,157,621.5600000000001,0.0,0.0,-0.3752708721854335,-0.48775340107862664
oh i'm gonna calm down,621.76,4.16,158,623.84,0.3182,0.07222222222222223,-0.3290429621577892,-0.47071653569248356
good now move over,626.399,4.5,159,628.649,0.4404,0.7,-0.26691627181140554,-0.2916555507703938
[Applause],627.77,3.129,160,629.3344999999999,0.4215,0.0,-0.2603588504734266,-0.290178129622411
i'm oh gonna leave,631.6,16.239,161,639.7195,-0.0516,0.0,-0.1897712144556291,-0.2780787767808892
you'd better drink that,654.24,7.599,162,658.0395,0.4404,0.5,-0.1596893771147454,-0.20017305314946532
go on drink it,672.959,2.88,163,674.399,0.0,0.0,-0.1767708203967179,-0.162609467874686
oh oh finish it,681.44,8.399,164,685.6395,0.0,0.0,-0.18488312389002654,-0.1898517665039284
oh,700.839,3.0,165,702.339,0.0,0.0,-0.1696663857765577,-0.20019682499278063
feel better,714.16,6.88,166,717.6,0.4404,0.5,-0.11053159084598375,-0.09910365352625743
what do you care how i feel,717.44,3.6,167,719.24,0.4939,0.0,-0.1008673719586511,-0.0913281375122238
you you cop,722.16,4.56,168,724.4399999999999,0.0,0.0,-0.06744187465327078,-0.08008629013574037
oh,728.839,3.0,169,730.339,0.0,0.0,-0.03574032680542913,-0.08614441264798664
what's this all about huh,741.839,7.12,170,745.399,0.0,0.0,-0.100822906072919,-0.12795991696700124
what's your angle one angle what last,745.839,3.601,171,747.6395000000001,0.0,0.0,-0.13430686616361717,-0.13055766500354957
night,748.959,4.081,172,750.9994999999999,0.0,0.0,-0.11603828815263538,-0.13153589861729265
just wanted to be friends friends yeah,749.44,5.68,173,752.2800000000001,0.8126,0.0,-0.08264571313271503,-0.1312071872142968
you could frame me huh no i got a job,753.04,3.84,174,754.9599999999999,-0.296,0.0,-0.14646040847557157,-0.12968375946762153
for you well,755.12,5.04,175,757.64,0.2732,0.0,-0.1681850415273733,-0.12754234944729065
don't tell me there's only,756.88,3.28,176,758.52,0.0,0.0,-0.17224560193312588,-0.1268094944037149
oh there's only one,760.72,7.52,177,764.48,0.0,0.0,-0.28696882180785177,-0.12354544045495204
job that you coppers would want me for,764.079,4.161,178,766.1595,0.0772,0.0,-0.27898741213433637,-0.12382662052564733
or you can forget it mister devlin what,768.56,7.519,179,772.3195,-0.2263,0.0,-0.3163292913721434,-0.1402919315836818
devlin i am no stool pigeon mr devil,772.079,5.681,180,774.9195,-0.765,0.0,-0.46210921570954105,-0.15974432206769063
my department authorized me to engage,776.079,3.281,181,777.7194999999999,0.34,0.0,-0.4115556742615666,-0.1928329209720146
you to do some work for us there's a job,777.76,2.56,182,779.04,0.0,0.0,-0.39975152247398177,-0.20849131554794975
in brazil,779.36,3.76,183,781.24,0.0,0.0,-0.41121311195408083,-0.15967031994698425
oh go away the whole thing bores me some,780.32,3.199,184,781.9195000000001,-0.3182,0.2,-0.40980502610627306,-0.11364544521304812
of the,783.12,2.64,185,784.44,0.0,0.0,-0.3570335474951833,-0.012030955042230201
german gentry who are paying your father,783.519,3.601,186,785.3195000000001,0.0,0.0,-0.3319204673944934,4.0487422493607015e-06
are working in rio,785.76,3.92,187,787.72,0.0,0.0,-0.29076700498727603,0.008401513799105267
every of the ig farben industries i tell,787.12,3.12,188,788.68,0.0,0.0,-0.29748499392731725,0.012043545475326906
you i'm not,789.68,2.719,189,791.0395,0.0,0.0,-0.3600826206212305,0.02820356800509705
interested barbin has men in south,790.24,4.08,190,792.28,0.4019,0.25,-0.4040653948551266,0.03793669002186181
america planted there before the war,792.399,3.361,191,794.0795,-0.5994,0.0,-0.46033313171241363,0.05015978856537255
they're cooperating with the brazilian,794.32,3.28,192,795.96,0.0,0.0,-0.4891916956736304,0.05969400340342222
government to smoke them out,795.76,3.44,193,797.48,0.0,0.0,-0.4808267934061947,0.06467643780396308
my chief thinks that the daughter of a,797.6,3.52,194,799.36,0.0,0.0,-0.46048024028699963,0.06708751751177727
uh of a traitor,799.2,3.439,195,800.9195000000001,0.0,0.0,-0.4557748783079899,0.06563790897529378
well he thinks it might be valuable in,801.12,4.32,196,803.28,0.6369,0.0,-0.39674466981598056,0.05688430463941858
the work they might sell to trust you,802.639,4.241,197,804.7595,0.5106,0.0,-0.30516416114353995,0.04702257305464564
and you could make up a little for your,805.44,4.72,198,807.8000000000001,0.0,-0.1875,-0.3263783464059289,0.01943525201774611
daddy's peculiarities why should i,806.88,6.48,199,810.12,0.0258,0.0,-0.4517707960257338,0.002986925031589968
patriotism that word gives me pain,810.16,5.76,200,813.04,-0.5106,0.0,-0.5484285030725704,0.006050578072320369
no thank you i don't go for patriotism,813.36,3.68,201,815.2,-0.2755,0.0,-0.5368548125059529,0.024087663848709986
or,815.92,3.52,202,817.68,0.0,0.0,-0.6217674138068982,-0.012702181600840967
or patriots but i can dispute that with,817.04,4.72,203,819.4,-0.5499,0.0,-0.7493058374754868,-0.09756511769402992
you waving the flag with one hand and,819.44,3.839,204,821.3595,0.4939,0.0,-0.5817550281968199,-0.1506273360405226
picking pockets was the other that's,821.76,3.199,205,823.3595,0.0,-0.125,-0.5720576040172769,-0.1522847759855087
your patriotism,823.279,4.881,206,825.7195,0.0,0.0,-0.5821374728205941,-0.12698460592678382
well you can have it we've had your,824.959,5.361,207,827.6395,0.2732,0.0,-0.577357053841778,-0.11714317311561397
bungalow wired for three months,828.16,3.84,208,830.0799999999999,0.0,0.0,-0.609928421405128,-0.1489113187639654
conversation between john hubermann and,830.32,4.0,209,832.32,0.0,0.0,-0.6534856107219913,-0.20432497944384756
dalton alicia 6 30 p.m january the 9th,832.0,5.199,210,834.5995,0.0,0.0,-0.6704428523709955,-0.2592419280631215
1946 at miami beach florida,834.32,4.4,211,836.5200000000001,0.0,0.0,-0.6445881265372672,-0.28744452499501744
some of the evidence that wasn't used at,837.199,3.44,212,838.919,0.0,0.0,-0.6068367376204307,-0.29578470443896154
the trial i don't want to hear that,838.72,5.359,213,841.3995,-0.0572,0.0,-0.6035198475203655,-0.27477225070467803
relax hardboard and listen,840.639,6.0,214,843.639,0.4404,0.0,-0.5759756555209775,-0.23774769174747878
there's for us both of us the wind of,844.079,4.161,215,846.1595,0.0,0.0,-0.5435579642423677,-0.21683080414187295
money in it,846.639,3.2,216,848.239,0.0,0.0,-0.5610151095999792,-0.253694742131296
i told you before christmas i wouldn't,848.24,3.36,217,849.92,0.0,0.0,-0.6187547605139188,-0.32694220066246066
do it you don't use your judgment,849.839,3.921,218,851.7995000000001,0.0,0.0,-0.6728176468579978,-0.3808626993007293
you can have anything you want the work,851.6,4.4,219,853.8000000000001,0.0772,0.0,-0.6594987706531323,-0.3330950186703001
is easy why not listen father this is,853.76,4.24,220,855.88,0.4404,0.43333333333333335,-0.6264703859543522,-0.2500674856877057
not your country is it,856.0,4.8,221,858.4,0.0,0.0,-0.6509374527522894,-0.23191029525335516
my mother was born here we have america,858.0,4.8,222,860.4,0.0,0.0,-0.6901084903991459,-0.25174652983096674
citizenship where's your judgment,860.8,3.68,223,862.64,0.0,0.0,-0.6979296145216368,-0.2469061070625808
and your feelings you're german you've,862.8,3.2,224,864.4,0.0,0.0,-0.6525635766174603,-0.19792943372886396
got to listen to me you don't know what,864.48,2.4,225,865.6800000000001,0.0,0.0,-0.6090721661746358,-0.16416087196507145
we stand for,866.0,3.6,226,867.8,0.0,0.0,-0.5705234721510272,-0.14630791244003172
i know what you stand for you and your,866.88,3.28,227,868.52,0.0,0.0,-0.5789194566366784,-0.13649628726272967
murderer,869.6,3.359,228,871.2795,-0.6808,0.0,-0.6970212921581915,-0.19853591747765809
swine i've hated you ever since i found,870.16,4.32,229,872.3199999999999,-0.6369,-0.9,-0.727121337442729,-0.36234839824753745
out my daughter don't talk to me like,872.959,2.961,230,874.4395,0.3612,0.0,-0.7186630790450651,-0.47769877723972654
that stay on your side of the table,874.48,3.76,231,876.36,0.0,0.0,-0.7461218187370678,-0.51964458768762
alicia put your voice down,875.92,5.44,232,878.64,0.0,-0.15555555555555559,-0.7984550794498617,-0.5869549442756439
i hate you all and i love this country,878.24,5.839,233,881.1595,0.128,-0.15000000000000002,-0.7976453972873317,-0.6628070254439317
do you understand that,881.36,5.36,234,884.04,0.0,0.0,-0.7627245097796829,-0.7210760681524861
it i'll see you all hang before i raise,884.079,5.041,235,886.5994999999999,0.0,0.0,-0.7600380077735284,-0.7289116710256559
a finger against it,886.72,5.52,236,889.48,0.0,0.0,-0.7953160709808711,-0.7166245289088167
now go around and get out of here,889.12,6.0,237,892.12,0.0,0.0,-0.8534446973881672,-0.7237949522736702
i'll turn you in don't ever come near,892.24,4.399,238,894.4395,0.0,0.1,-0.9153250079850278,-0.7641181093000047
and you'll speak to me again about your,895.12,4.719,239,897.4795,0.0,0.0,-0.9834133532708362,-0.8239836339060491
rotten schemes,896.639,3.2,240,898.239,-0.5106,0.0,-0.9937785317976597,-0.8322001004494173
well that doesn't prove much i didn't,904.16,4.56,241,906.4399999999999,0.2732,0.2,-1.0078026550232446,-0.793571702316771
turn him in,907.199,4.64,242,909.519,0.0,0.0,-1.0812635902083934,-0.9045100936915236
we didn't expect you to well what do you,908.72,5.44,243,911.44,0.2732,0.0,-1.1689586086331305,-1.0820280933787365
say,911.839,2.321,244,912.9995,0.0,0.0,-1.2356053705424284,-1.1435806762889065
go away and leave me alone i have my own,916.56,5.519,245,919.3195,-0.296,0.6,-1.344478322344332,-0.9522242934862322
life to lead,920.24,4.399,246,922.4395,0.0,0.0,-1.26991327466176,-0.9500557274470159
good times that's what i want and laughs,922.079,5.281,247,924.7194999999999,0.7506,0.7,-1.1471044293532393,-0.7922688386982573
with people i like,924.639,4.56,248,926.919,0.3612,0.0,-1.0443844151118138,-0.745195366654775
and no underhanded cops who want to put,927.36,3.68,249,929.2,-0.2263,0.0,-1.1611235409653915,-0.7724847421958261
me up in a shooting gallery,929.199,4.801,250,931.5994999999999,0.0,0.0,-1.1509098945201572,-0.7255282318754975
but people are my own kind but treat me,931.04,6.0,251,934.04,0.8462,0.6,-1.083568750239729,-0.5523673741519854
right and like me and understand me,934.0,6.24,252,937.12,0.3612,0.2857142857142857,-0.9941894723585687,-0.4810883385062862
good morning alyssia,937.04,4.96,253,939.52,0.4404,0.7,-0.9297901389725003,-0.29167960043957447
oh hello thought you might need a hair,940.24,3.039,254,941.7595,0.0,0.0,-0.9116646926578929,-0.2750088485120986
this morning we're sitting with a tide,942.0,1.92,255,942.96,0.0,0.0,-0.9304585230052986,-0.09575114069084974
you know,943.279,3.281,256,944.9195,0.0,0.0,-0.9845214773194088,-0.38772070206554266
are you ready yes don't tell me you've,943.92,4.8,257,946.3199999999999,0.6369,0.2,-1.0190921188622588,-0.46446742427344834
forgotten my dear,946.56,4.0,258,948.56,0.1779,0.0,-1.0302735989560032,-0.5415267084217066
almost i'll help you pack although you,948.72,3.039,259,950.2395,0.3446,0.0,-0.993783643727275,-0.5677916000820971
really don't need anything we've got,950.56,2.719,260,951.9195,0.0,0.2,-0.9279328538488045,-0.5118368260831616
everything on board oh thank you i'll,951.759,2.481,261,952.9995,0.3612,0.0,-0.9012192284217355,-0.4770142087468405
pack myself,953.279,2.56,262,954.559,0.0,0.0,-0.9118372477623861,-0.49010474121142067
