text,start,duration,line_no,midpoint,sentiment-vader,sentiment-textblob,sentiment-ollama,sentiment-vader_norm,sentiment-textblob_norm,sentiment-ollama_norm
leave I wonder what they'll be where I,611.88,3.12,175,613.4399999999999,-0.0516,0.0,0.1,-0.5580473680474685,-0.10764702079261484,-0.1068946759768969
don't know pay the man will you ear yes,613.44,3.72,176,615.3000000000001,0.4581,0.0,0.2,-0.5049162931413015,-0.10442302183846883,-0.19518663206458123
sure how much do we owe you may I yes,615.0,4.68,177,617.34,0.6124,0.35,0.3,-0.47045092562142754,-0.08022551376887267,-0.25031255564691335
and keep the,617.16,2.52,178,618.42,0.0,0.0,0.15,-0.46928469831058267,-0.06278635020220522,-0.2626637266676205
chain,620.24,4.08,179,622.28,0.0,0.0,0.0,-0.4750143460323577,-0.022226933613793277,-0.2652822652419646
girl I have a little business to take,622.279,6.0,180,625.279,0.0,-0.1875,0.2,-0.41640412143825933,-0.03686616021482207,-0.27594905856855667
care of I'll meet you on day okay sister,624.32,3.959,181,626.2995000000001,0.6249,0.5,0.45,-0.3912068008426305,-0.031295092317307024,-0.2834994174322466
dear hello Billy this is goodbye thanks,628.32,5.44,182,631.0400000000001,0.6705,0.2,0.1,-0.31153152981817517,0.0677357373661166,-0.3303905860587857
for coming down to see me off it's hard,631.8,3.56,183,633.5799999999999,-0.1027,-0.22361111111111115,-0.25,-0.29285019792668915,0.031228788431876972,-0.3543509921042983
saying goodbye like this after all we've,633.76,4.04,184,635.78,0.3612,0.0,-0.2,-0.2872956606098506,-0.01827787584224657,-0.3685441009330902
been to each other I know it's been a,635.36,5.36,185,638.04,0.0,-0.125,0.2,-0.28837379095115234,-0.029342128462800134,-0.37437300764990256
lovely 3 days but but I'll be back soon,637.8,4.719,186,640.1595,0.34,0.25,0.45,-0.28881574623046824,-0.018110889250849433,-0.37609854038871215
oh dear I must go now may I walk you up,640.72,4.2,187,642.82,0.3818,0.0,0.3,-0.27723016588014043,-0.019659874399625736,-0.3817754214800927
the gang plank I'd rather you wouldn't,642.519,6.721,188,645.8795,0.0,0.0,-0.1,-0.24213752020096563,0.008100643941804021,-0.40208507059648807
you understand no well it's just better,644.92,5.2,189,647.52,0.27,0.5,-0.25,-0.22688042850798543,0.14189637991740192,-0.4174589568668325
that,649.24,4.8,190,651.64,0.0,0.0,0.0,-0.26319743640077875,0.17474362169270471,-0.458749517279422
way right to me Billy I will goodbye,650.12,6.64,191,653.44,0.0,0.2857142857142857,0.45,-0.32986389962960216,0.14831414507959084,-0.4721816721791793
I I'll miss you very much Linda I can,654.04,4.2,192,656.14,-0.1531,0.26,0.5,-0.43313934136939547,0.14012870479066705,-0.4631716258033972
tell you that knowing you these past few,656.76,2.759,193,658.1395,0.0,-0.225,0.15,-0.45514473522406723,0.1616214883656958,-0.4146781390631652
weeks has been one of the most most,658.24,2.719,194,659.5995,0.0,0.5,0.5,-0.4197765916547934,0.19228927699303178,-0.35058458544444293
exciting things that's ever happened to,659.519,4.76,195,661.899,0.4939,0.3,0.65,-0.31761623985393156,0.24992881949903706,-0.23101321671432648
me to me too,660.959,3.32,196,662.6189999999999,0.0,0.0,0.5,-0.2864037697990495,0.26620879034296585,-0.19711877237471742
John Pete Ellen Hunter I thought I went,672.12,7.12,197,675.68,0.0,0.0,0.1,-0.30792046292445285,0.3020557582049258,-0.1288548590712146
to the wrong day we had much time really,676.24,6.0,198,679.24,-0.4767,-0.033333333333333326,0.2,-0.358740228992521,0.3030068152556908,-0.14942310240656012
and I had so much to say what well,679.24,4.839,199,681.6595,0.2732,0.2,0.1,-0.3636180078891963,0.322326709208254,-0.13467021043141147
