Timecode List:,00:01:13.340,00:01:28.188,00:01:30.290,00:01:31.992,00:01:34.861,00:02:52.239,00:03:16.530,00:04:06.246,00:04:48.488,00:04:50.524,00:04:56.363,00:04:57.063,00:05:16.850,00:05:30.931,00:05:46.079,00:06:29.356,00:06:45.705,00:06:52.345,00:07:05.158,00:07:08.595,00:07:12.766,00:07:21.074,00:08:15.628,00:08:34.781,00:09:41.214,00:10:20.954,00:10:29.295,00:11:03.496,00:11:05.031,00:11:07.133,00:11:08.968,00:11:47.907,00:11:49.876,00:11:52.011,00:12:03.990,00:12:12.565,00:12:15.868,00:12:27.780,00:12:31.184,00:12:36.422,00:12:38.591,00:12:48.701,00:14:57.397,00:16:15.141,00:17:16.335,00:18:40.252,00:19:32.071,00:19:41.747,00:20:11.544,00:20:26.325,00:21:05.197,00:21:09.068,00:21:28.420,00:21:55.347,00:23:07.486,00:23:40.519,00:24:04.977,00:24:11.216,00:24:14.320,00:24:20.859,00:24:41.180,00:26:51.743,00:27:01.687,00:27:03.689,00:27:10.262,00:27:39.057,00:27:51.637,00:27:59.478,00:28:03.549,00:28:07.486,00:28:12.958,00:28:19.498,00:28:35.280,00:29:19.992,00:29:31.036,00:29:46.318,00:29:53.525,00:30:02.334,00:30:13.278,00:30:15.681,00:30:24.156,00:30:30.128,00:30:31.463,00:30:33.699,00:30:50.582,00:30:55.120,00:30:59.725,00:31:04.229,00:31:24.649,00:31:33.492,00:32:08.393,00:32:42.327,00:32:48.233,00:32:59.911,00:34:43.548,00:35:03.702,00:36:50.642,00:37:34.652,00:37:44.662,00:38:20.565,00:38:28.339,00:38:32.076,00:39:16.821,00:40:27.425,00:40:59.490,00:43:03.147,00:43:56.801,00:46:53.778,00:47:07.825,00:47:52.069,00:48:38.582,00:50:50.147,00:52:20.638,00:52:49.566,00:53:17.594,00:53:58.635,00:54:15.853,00:54:51.955,00:55:36.733,00:56:14.705,00:56:25.015,00:56:38.996,00:58:19.629,01:01:06.329,01:01:46.369,01:01:49.839,01:01:54.277,01:01:56.513,01:01:59.282,01:02:01.618,01:02:12.095,01:02:13.296,01:02:38.822,01:02:59.743,01:04:21.091,01:04:59.162,01:06:03.259,01:07:44.160,01:09:02.772,01:09:09.212,01:09:15.451,01:11:44.133,01:12:06.322,01:12:16.799,01:12:18.501,01:12:19.769,01:12:22.171,01:12:29.145,01:12:44.694,01:12:45.962,01:13:09.285,01:14:10.613,01:14:45.214,01:15:36.799,01:16:30.052,01:17:24.874,01:17:57.673,01:18:13.789,01:18:27.503,01:18:54.363,01:18:55.831,01:19:38.440,01:19:54.790,01:20:14.543,01:20:27.156,01:21:50.038,01:23:32.374,01:24:06.642,01:25:34.096,01:26:08.830,01:26:56.578,01:27:17.199,01:27:33.582,01:27:43.892,01:27:48.497,01:27:54.236,01:28:10.185,01:28:19.427,01:28:31.373,01:28:38.213,01:28:45.654,01:28:50.892,01:29:48.183,01:29:50.986,01:29:56.157,01:29:58.960,01:30:02.063,01:30:06.034,01:30:09.704,01:30:27.822,01:30:28.757,01:30:31.092,01:30:35.430,01:30:36.998,01:30:38.166,01:30:40.035,01:30:44.673,01:30:47.842,01:31:36.858
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
37,21956,00:12:12.565,732.565,22054,00:12:15.868,735.868,99,00:00:03.303,3.303
38,22055,00:12:15.868,735.868,22411,00:12:27.780,747.780,357,00:00:11.912,11.912
39,22412,00:12:27.780,747.780,22513,00:12:31.184,751.184,102,00:00:03.403,3.403
40,22514,00:12:31.184,751.184,22670,00:12:36.422,756.422,157,00:00:05.239,5.239
41,22671,00:12:36.422,756.422,22735,00:12:38.591,758.591,65,00:00:02.169,2.169
42,22736,00:12:38.591,758.591,23038,00:12:48.701,768.701,303,00:00:10.110,10.110
43,23039,00:12:48.701,768.701,26895,00:14:57.397,897.397,3857,00:02:08.695,128.695
44,26896,00:14:57.397,897.397,29225,00:16:15.141,975.141,2330,00:01:17.744,77.744
45,29226,00:16:15.141,975.141,31059,00:17:16.335,1036.335,1834,00:01:01.194,61.194
46,31060,00:17:16.335,1036.335,33574,00:18:40.252,1120.252,2515,00:01:23.917,83.917
47,33575,00:18:40.252,1120.252,35127,00:19:32.071,1172.071,1553,00:00:51.818,51.818
48,35128,00:19:32.071,1172.071,35417,00:19:41.747,1181.747,290,00:00:09.676,9.676
49,35418,00:19:41.747,1181.747,36310,00:20:11.544,1211.544,893,00:00:29.796,29.796
50,36311,00:20:11.544,1211.544,36753,00:20:26.325,1226.325,443,00:00:14.781,14.781
51,36754,00:20:26.325,1226.325,37918,00:21:05.197,1265.197,1165,00:00:38.872,38.872
52,37919,00:21:05.197,1265.197,38034,00:21:09.068,1269.068,116,00:00:03.871,3.871
53,38035,00:21:09.068,1269.068,38614,00:21:28.420,1288.420,580,00:00:19.353,19.353
54,38615,00:21:28.420,1288.420,39421,00:21:55.347,1315.347,807,00:00:26.927,26.927
55,39422,00:21:55.347,1315.347,41583,00:23:07.486,1387.486,2162,00:01:12.139,72.139
56,41584,00:23:07.486,1387.486,42573,00:23:40.519,1420.519,990,00:00:33.033,33.033
57,42574,00:23:40.519,1420.519,43306,00:24:04.977,1444.977,733,00:00:24.458,24.458
58,43307,00:24:04.977,1444.977,43493,00:24:11.216,1451.216,187,00:00:06.240,6.240
59,43494,00:24:11.216,1451.216,43586,00:24:14.320,1454.320,93,00:00:03.103,3.103
60,43587,00:24:14.320,1454.320,43782,00:24:20.859,1460.859,196,00:00:06.540,6.540
61,43783,00:24:20.859,1460.859,44391,00:24:41.180,1481.180,609,00:00:20.320,20.320
62,44392,00:24:41.180,1481.180,48304,00:26:51.743,1611.743,3913,00:02:10.564,130.564
63,48305,00:26:51.743,1611.743,48602,00:27:01.687,1621.687,298,00:00:09.943,9.943
64,48603,00:27:01.687,1621.687,48662,00:27:03.689,1623.689,60,00:00:02.002,2.002
65,48663,00:27:03.689,1623.689,48859,00:27:10.262,1630.262,197,00:00:06.573,6.573
66,48860,00:27:10.262,1630.262,49722,00:27:39.057,1659.057,863,00:00:28.795,28.795
67,49723,00:27:39.057,1659.057,50099,00:27:51.637,1671.637,377,00:00:12.579,12.579
68,50100,00:27:51.637,1671.637,50334,00:27:59.478,1679.478,235,00:00:07.841,7.841
69,50335,00:27:59.478,1679.478,50456,00:28:03.549,1683.549,122,00:00:04.071,4.071
70,50457,00:28:03.549,1683.549,50574,00:28:07.486,1687.486,118,00:00:03.937,3.937
71,50575,00:28:07.486,1687.486,50738,00:28:12.958,1692.958,164,00:00:05.472,5.472
72,50739,00:28:12.958,1692.958,50934,00:28:19.498,1699.498,196,00:00:06.540,6.540
73,50935,00:28:19.498,1699.498,51407,00:28:35.280,1715.280,473,00:00:15.782,15.782
74,51408,00:28:35.280,1715.280,52747,00:29:19.992,1759.992,1340,00:00:44.711,44.711
75,52748,00:29:19.992,1759.992,53078,00:29:31.036,1771.036,331,00:00:11.044,11.044
76,53079,00:29:31.036,1771.036,53536,00:29:46.318,1786.318,458,00:00:15.282,15.282
77,53537,00:29:46.318,1786.318,53752,00:29:53.525,1793.525,216,00:00:07.207,7.207
78,53753,00:29:53.525,1793.525,54016,00:30:02.334,1802.334,264,00:00:08.809,8.809
79,54017,00:30:02.334,1802.334,54344,00:30:13.278,1813.278,328,00:00:10.944,10.944
80,54345,00:30:13.278,1813.278,54416,00:30:15.681,1815.681,72,00:00:02.402,2.402
81,54417,00:30:15.681,1815.681,54670,00:30:24.156,1824.156,254,00:00:08.475,8.475
82,54671,00:30:24.156,1824.156,54849,00:30:30.128,1830.128,179,00:00:05.973,5.973
83,54850,00:30:30.128,1830.128,54889,00:30:31.463,1831.463,40,00:00:01.335,1.335
84,54890,00:30:31.463,1831.463,54956,00:30:33.699,1833.699,67,00:00:02.236,2.236
85,54957,00:30:33.699,1833.699,55462,00:30:50.582,1850.582,506,00:00:16.884,16.884
86,55463,00:30:50.582,1850.582,55598,00:30:55.120,1855.120,136,00:00:04.538,4.538
87,55599,00:30:55.120,1855.120,55736,00:30:59.725,1859.725,138,00:00:04.605,4.605
88,55737,00:30:59.725,1859.725,55871,00:31:04.229,1864.229,135,00:00:04.505,4.505
89,55872,00:31:04.229,1864.229,56483,00:31:24.649,1884.649,612,00:00:20.420,20.420
90,56484,00:31:24.649,1884.649,56748,00:31:33.492,1893.492,265,00:00:08.842,8.842
91,56749,00:31:33.492,1893.492,57794,00:32:08.393,1928.393,1046,00:00:34.902,34.902
92,57795,00:32:08.393,1928.393,58811,00:32:42.327,1962.327,1017,00:00:33.934,33.934
93,58812,00:32:42.327,1962.327,58988,00:32:48.233,1968.233,177,00:00:05.906,5.906
94,58989,00:32:48.233,1968.233,59338,00:32:59.911,1979.911,350,00:00:11.678,11.678
95,59339,00:32:59.911,1979.911,62444,00:34:43.548,2083.548,3106,00:01:43.637,103.637
96,62445,00:34:43.548,2083.548,63048,00:35:03.702,2103.702,604,00:00:20.153,20.153
97,63049,00:35:03.702,2103.702,66253,00:36:50.642,2210.642,3205,00:01:46.940,106.940
98,66254,00:36:50.642,2210.642,67572,00:37:34.652,2254.652,1319,00:00:44.011,44.011
99,67573,00:37:34.652,2254.652,67872,00:37:44.662,2264.662,300,00:00:10.010,10.010
100,67873,00:37:44.662,2264.662,68948,00:38:20.565,2300.565,1076,00:00:35.903,35.903
101,68949,00:38:20.565,2300.565,69181,00:38:28.339,2308.339,233,00:00:07.774,7.774
102,69182,00:38:28.339,2308.339,69293,00:38:32.076,2312.076,112,00:00:03.737,3.737
103,69294,00:38:32.076,2312.076,70634,00:39:16.821,2356.821,1341,00:00:44.745,44.745
104,70635,00:39:16.821,2356.821,72750,00:40:27.425,2427.425,2116,00:01:10.604,70.604
105,72751,00:40:27.425,2427.425,73711,00:40:59.490,2459.490,961,00:00:32.065,32.065
106,73712,00:40:59.490,2459.490,77417,00:43:03.147,2583.147,3706,00:02:03.657,123.657
107,77418,00:43:03.147,2583.147,79025,00:43:56.801,2636.801,1608,00:00:53.654,53.654
108,79026,00:43:56.801,2636.801,84329,00:46:53.778,2813.778,5304,00:02:56.977,176.977
109,84330,00:46:53.778,2813.778,84750,00:47:07.825,2827.825,421,00:00:14.047,14.047
110,84751,00:47:07.825,2827.825,86076,00:47:52.069,2872.069,1326,00:00:44.244,44.244
111,86077,00:47:52.069,2872.069,87470,00:48:38.582,2918.582,1394,00:00:46.513,46.513
112,87471,00:48:38.582,2918.582,91413,00:50:50.147,3050.147,3943,00:02:11.565,131.565
113,91414,00:50:50.147,3050.147,94125,00:52:20.638,3140.638,2712,00:01:30.490,90.490
114,94126,00:52:20.638,3140.638,94992,00:52:49.566,3169.566,867,00:00:28.929,28.929
115,94993,00:52:49.566,3169.566,95832,00:53:17.594,3197.594,840,00:00:28.028,28.028
116,95833,00:53:17.594,3197.594,97062,00:53:58.635,3238.635,1230,00:00:41.041,41.041
117,97063,00:53:58.635,3238.635,97578,00:54:15.853,3255.853,516,00:00:17.217,17.217
118,97579,00:54:15.853,3255.853,98660,00:54:51.955,3291.955,1082,00:00:36.103,36.103
119,98661,00:54:51.955,3291.955,100002,00:55:36.733,3336.733,1342,00:00:44.778,44.778
120,100003,00:55:36.733,3336.733,101140,00:56:14.705,3374.705,1138,00:00:37.971,37.971
121,101141,00:56:14.705,3374.705,101449,00:56:25.015,3385.015,309,00:00:10.310,10.310
122,101450,00:56:25.015,3385.015,101868,00:56:38.996,3398.996,419,00:00:13.981,13.981
123,101869,00:56:38.996,3398.996,104884,00:58:19.629,3499.629,3016,00:01:40.634,100.634
124,104885,00:58:19.629,3499.629,109880,01:01:06.329,3666.329,4996,00:02:46.700,166.700
125,109881,01:01:06.329,3666.329,111080,01:01:46.369,3706.369,1200,00:00:40.040,40.040
126,111081,01:01:46.369,3706.369,111184,01:01:49.839,3709.839,104,00:00:03.470,3.470
127,111185,01:01:49.839,3709.839,111317,01:01:54.277,3714.277,133,00:00:04.438,4.438
128,111318,01:01:54.277,3714.277,111384,01:01:56.513,3716.513,67,00:00:02.236,2.236
129,111385,01:01:56.513,3716.513,111467,01:01:59.282,3719.282,83,00:00:02.769,2.769
130,111468,01:01:59.282,3719.282,111537,01:02:01.618,3721.618,70,00:00:02.336,2.336
131,111538,01:02:01.618,3721.618,111851,01:02:12.095,3732.095,314,00:00:10.477,10.477
132,111852,01:02:12.095,3732.095,111887,01:02:13.296,3733.296,36,00:00:01.201,1.201
133,111888,01:02:13.296,3733.296,112652,01:02:38.822,3758.822,765,00:00:25.526,25.526
134,112653,01:02:38.822,3758.822,113279,01:02:59.743,3779.743,627,00:00:20.921,20.921
135,113280,01:02:59.743,3779.743,115717,01:04:21.091,3861.091,2438,00:01:21.348,81.348
136,115718,01:04:21.091,3861.091,116858,01:04:59.162,3899.162,1141,00:00:38.071,38.071
137,116859,01:04:59.162,3899.162,118779,01:06:03.259,3963.259,1921,00:01:04.097,64.097
138,118780,01:06:03.259,3963.259,121803,01:07:44.160,4064.160,3024,00:01:40.901,100.901
139,121804,01:07:44.160,4064.160,124159,01:09:02.772,4142.772,2356,00:01:18.612,78.612
140,124160,01:09:02.772,4142.772,124352,01:09:09.212,4149.212,193,00:00:06.440,6.440
141,124353,01:09:09.212,4149.212,124539,01:09:15.451,4155.451,187,00:00:06.240,6.240
142,124540,01:09:15.451,4155.451,128995,01:11:44.133,4304.133,4456,00:02:28.682,148.682
143,128996,01:11:44.133,4304.133,129660,01:12:06.322,4326.322,665,00:00:22.189,22.189
144,129661,01:12:06.322,4326.322,129974,01:12:16.799,4336.799,314,00:00:10.477,10.477
145,129975,01:12:16.799,4336.799,130025,01:12:18.501,4338.501,51,00:00:01.702,1.702
146,130026,01:12:18.501,4338.501,130063,01:12:19.769,4339.769,38,00:00:01.268,1.268
147,130064,01:12:19.769,4339.769,130135,01:12:22.171,4342.171,72,00:00:02.402,2.402
148,130136,01:12:22.171,4342.171,130344,01:12:29.145,4349.145,209,00:00:06.974,6.974
149,130345,01:12:29.145,4349.145,130810,01:12:44.694,4364.694,466,00:00:15.549,15.549
150,130811,01:12:44.694,4364.694,130848,01:12:45.962,4365.962,38,00:00:01.268,1.268
151,130849,01:12:45.962,4365.962,131547,01:13:09.285,4389.285,699,00:00:23.323,23.323
152,131548,01:13:09.285,4389.285,133385,01:14:10.613,4450.613,1838,00:01:01.328,61.328
153,133386,01:14:10.613,4450.613,134422,01:14:45.214,4485.214,1037,00:00:34.601,34.601
154,134423,01:14:45.214,4485.214,135968,01:15:36.799,4536.799,1546,00:00:51.585,51.585
155,135969,01:15:36.799,4536.799,137564,01:16:30.052,4590.052,1596,00:00:53.253,53.253
156,137565,01:16:30.052,4590.052,139207,01:17:24.874,4644.874,1643,00:00:54.821,54.821
157,139208,01:17:24.874,4644.874,140190,01:17:57.673,4677.673,983,00:00:32.799,32.799
158,140191,01:17:57.673,4677.673,140673,01:18:13.789,4693.789,483,00:00:16.116,16.116
159,140674,01:18:13.789,4693.789,141084,01:18:27.503,4707.503,411,00:00:13.714,13.714
160,141085,01:18:27.503,4707.503,141889,01:18:54.363,4734.363,805,00:00:26.860,26.860
161,141890,01:18:54.363,4734.363,141933,01:18:55.831,4735.831,44,00:00:01.468,1.468
162,141934,01:18:55.831,4735.831,143210,01:19:38.440,4778.440,1277,00:00:42.609,42.609
163,143211,01:19:38.440,4778.440,143700,01:19:54.790,4794.790,490,00:00:16.350,16.350
164,143701,01:19:54.790,4794.790,144292,01:20:14.543,4814.543,592,00:00:19.753,19.753
165,144293,01:20:14.543,4814.543,144670,01:20:27.156,4827.156,378,00:00:12.613,12.613
166,144671,01:20:27.156,4827.156,147154,01:21:50.038,4910.038,2484,00:01:22.883,82.883
167,147155,01:21:50.038,4910.038,150221,01:23:32.374,5012.374,3067,00:01:42.336,102.336
168,150222,01:23:32.374,5012.374,151248,01:24:06.642,5046.642,1027,00:00:34.268,34.268
169,151249,01:24:06.642,5046.642,153869,01:25:34.096,5134.096,2621,00:01:27.454,87.454
170,153870,01:25:34.096,5134.096,154910,01:26:08.830,5168.830,1041,00:00:34.735,34.735
171,154911,01:26:08.830,5168.830,156341,01:26:56.578,5216.578,1431,00:00:47.748,47.748
172,156342,01:26:56.578,5216.578,156959,01:27:17.199,5237.199,618,00:00:20.621,20.621
173,156960,01:27:17.199,5237.199,157450,01:27:33.582,5253.582,491,00:00:16.383,16.383
174,157451,01:27:33.582,5253.582,157759,01:27:43.892,5263.892,309,00:00:10.310,10.310
175,157760,01:27:43.892,5263.892,157897,01:27:48.497,5268.497,138,00:00:04.605,4.605
176,157898,01:27:48.497,5268.497,158069,01:27:54.236,5274.236,172,00:00:05.739,5.739
177,158070,01:27:54.236,5274.236,158547,01:28:10.185,5290.185,478,00:00:15.949,15.949
178,158548,01:28:10.185,5290.185,158824,01:28:19.427,5299.427,277,00:00:09.243,9.243
179,158825,01:28:19.427,5299.427,159182,01:28:31.373,5311.373,358,00:00:11.945,11.945
180,159183,01:28:31.373,5311.373,159387,01:28:38.213,5318.213,205,00:00:06.840,6.840
181,159388,01:28:38.213,5318.213,159610,01:28:45.654,5325.654,223,00:00:07.441,7.441
182,159611,01:28:45.654,5325.654,159767,01:28:50.892,5330.892,157,00:00:05.239,5.239
183,159768,01:28:50.892,5330.892,161484,01:29:48.183,5388.183,1717,00:00:57.291,57.291
184,161485,01:29:48.183,5388.183,161568,01:29:50.986,5390.986,84,00:00:02.803,2.803
185,161569,01:29:50.986,5390.986,161723,01:29:56.157,5396.157,155,00:00:05.172,5.172
186,161724,01:29:56.157,5396.157,161807,01:29:58.960,5398.960,84,00:00:02.803,2.803
187,161808,01:29:58.960,5398.960,161900,01:30:02.063,5402.063,93,00:00:03.103,3.103
188,161901,01:30:02.063,5402.063,162019,01:30:06.034,5406.034,119,00:00:03.971,3.971
189,162020,01:30:06.034,5406.034,162129,01:30:09.704,5409.704,110,00:00:03.670,3.670
190,162130,01:30:09.704,5409.704,162672,01:30:27.822,5427.822,543,00:00:18.118,18.118
191,162673,01:30:27.822,5427.822,162700,01:30:28.757,5428.757,28,00:00:00.934,0.934
192,162701,01:30:28.757,5428.757,162770,01:30:31.092,5431.092,70,00:00:02.336,2.336
193,162771,01:30:31.092,5431.092,162900,01:30:35.430,5435.430,130,00:00:04.338,4.338
194,162901,01:30:35.430,5435.430,162947,01:30:36.998,5436.998,47,00:00:01.568,1.568
195,162948,01:30:36.998,5436.998,162982,01:30:38.166,5438.166,35,00:00:01.168,1.168
196,162983,01:30:38.166,5438.166,163038,01:30:40.035,5440.035,56,00:00:01.869,1.869
197,163039,01:30:40.035,5440.035,163177,01:30:44.673,5444.673,139,00:00:04.638,4.638
198,163178,01:30:44.673,5444.673,163272,01:30:47.842,5447.842,95,00:00:03.170,3.170
199,163273,01:30:47.842,5447.842,164741,01:31:36.858,5496.858,1469,00:00:49.016,49.016
200,164742,01:31:36.858,5496.858,164758,01:31:37.425,5497.425,17,00:00:00.567,0.567
